,Latitud,Longitud,Leq
1,-39.8323610,-73.2444730,66.4
2,-39.8530369,-73.2511455,66.4
3,-39.8537142,-73.2512650,61.7
4,-39.8433167,-73.2285467,75.1
5,-39.8442848,-73.2302758,70
6,-39.8442502,-73.2280315,68.1
7,-39.8446999,-73.2301670,62.6
8,-39.8447733,-73.2324817,76.2
9,-39.8452222,-73.2329901,66.4
10,-39.8235684,-73.2080391,71.2
11,-39.8130421,-73.2366747,70.4
12,-39.8274883,-73.2102790,68.6
13,-39.8350092,-73.2058071,73.2
14,-39.8325328,-73.2046376,64.5
15,-39.8328229,-73.2046559,59.9
16,-39.8249350,-73.2458656,58.5
17,-39.8264674,-73.2386283,65
18,-39.8293746,-73.2385481,69.1
19,-39.8258697,-73.2374454,64.2
20,-39.8294595,-73.2418593,72.8
21,-39.8260554,-73.2461910,62.6
22,-39.8270903,-73.2090638,72.6
23,-39.8272641,-73.2074772,72.1
24,-39.8223253,-73.2464288,63.1
25,-39.8358102,-73.2093670,63.1
26,-39.8356794,-73.2094880,63.1
27,-39.8231256,-73.2478527,74.2
28,-39.8225797,-73.2450079,70.7
29,-39.8201342,-73.2444285,70.7
30,-39.8230143,-73.2439897,71.4
31,-39.8257710,-73.2470757,71.4
32,-39.8258486,-73.2471949,61.7
33,-39.8256833,-73.2487332,68
34,-39.8280807,-73.2478956,66.8
35,-39.8252988,-73.2434629,68.1
36,-39.8441020,-73.2361285,66.4
37,-39.8441016,-73.2359213,66.4
38,-39.8440667,-73.2359217,65.2
39,-39.8440875,-73.2359145,65.9
40,-39.8428606,-73.2354367,66.4
41,-39.8440926,-73.2359193,66.4
42,-39.8323610,-73.2444730,48.4
43,-39.8440997,-73.2359308,65.2
44,-39.8445422,-73.2372092,66.4
45,-39.8440857,-73.2359372,65.9
46,-39.8440953,-73.2359260,66.4
47,-39.8441133,-73.2359369,66.4
48,-39.8440998,-73.2359329,66.4
49,-39.8261125,-73.2460627,68.6
50,-39.8356528,-73.2006071,65.9
51,-39.8537189,-73.2016528,66.4
52,-39.8302193,-73.2355625,69.2
53,-39.8324833,-73.2387912,69.7
54,-39.8566945,-73.2379869,65.9
55,-39.8248711,-73.2461356,58.9
56,-39.8257160,-73.2490326,63.8
57,-39.8257838,-73.2460261,58.9
58,-39.8281725,-73.2440906,65.2
59,-39.8265583,-73.2476006,59.3
60,-39.8257715,-73.2503267,69.4
61,-39.8270328,-73.2466112,58.5
62,-39.8261930,-73.2489504,69
63,-39.8266384,-73.2461633,67.5
64,-39.8259254,-73.2459145,68.3
65,-39.8376346,-73.2258903,72.7
66,-39.8428838,-73.2250317,61.3
67,-39.8443162,-73.2274248,69.3
68,-39.8442607,-73.2280926,68.5
69,-39.8403441,-73.2293350,69.9
70,-39.8400253,-73.2311074,60.8
71,-39.8545556,-73.2478456,65.5
72,-39.8503597,-73.2269579,71.8
73,-39.8506647,-73.2222710,74.7
74,-39.8507705,-73.2222112,74.5
75,-39.8509782,-73.2228371,72.8
76,-39.8195449,-73.2443109,65.1
77,-39.8445792,-73.2338999,62.3
78,-39.8447804,-73.2338785,64.8
79,-39.8543970,-73.2478413,65.2
80,-39.8544512,-73.2478294,67
81,-39.8545331,-73.2478722,65.8
82,-39.8447380,-73.2339056,62.8
83,-39.8447694,-73.2338632,63.8
84,-39.8447348,-73.2336894,64.3
85,-39.8447190,-73.2338532,64.4
86,-39.8547944,-73.2479722,67.7
87,-39.8448395,-73.2338987,66.7
88,-39.8447266,-73.2339347,65.3
89,-39.8545840,-73.2478697,68.8
90,-39.8546416,-73.2478851,68.4
91,-39.8501046,-73.2209182,67.9
92,-39.8501409,-73.2359428,71.9
93,-39.8428079,-73.2274019,61.9
94,-39.8421829,-73.2170825,67
95,-39.8408423,-73.2169088,70.2
96,-39.8396284,-73.2181400,71.3
97,-39.8396087,-73.2208289,67
98,-39.8364269,-73.2280194,62.5
99,-39.8488206,-73.2181016,54.4
100,-39.8528930,-73.2567394,64.1
101,-39.8494102,-73.2319977,71.9
102,-39.8533750,-73.2283078,66.1
103,-39.8322060,-73.2399111,59.6
104,-39.8508934,-73.2314558,73.5
105,-39.8488201,-73.2181010,60.5
106,-39.8489354,-73.2191491,72.8
107,-39.8499419,-73.2219070,71.5
108,-39.8403831,-73.2313817,70.4
109,-39.8376817,-73.2332483,70.2
110,-39.821035,-73.2478920,69.9
111,-39.822670,-73.2480390,67.3
112,-39.824335,-73.2485290,68.2
113,-39.825529,-73.2488920,62.5
114,-39.820836,-73.2457590,66.4
115,-39.820761,-73.2448490,68.3
116,-39.822302,-73.2450220,70.9
117,-39.822848,-73.2450190,70.5
118,-39.818785,-73.2490810,70.6
119,-39.821644,-73.2497400,70.3
120,-39.819746,-73.2493060,70.4
121,-39.850379,-73.220997,71.5
122,-39.844390,-73.217004,72.8
123,-39.849793,-73.231673,71
124,-39.851297,-73.222930,70
